Neighborhood,Latitude,Longitude
Aundh,18.56325,73.81229
Baner,18.5482,73.77317
Bavdhan,18.51106,73.77741
Shivajinagar,18.53681,73.83818
Bibvewadi,18.47187,73.86336
Balewadi,18.57602,73.77983
Dhankawadi,18.46623,73.85328
Dhanori,18.57856,73.89264
Dhayari,18.44702,73.80757
Erandwane,18.50938,73.83151
Ganesh khind,18.54075,73.82925
Ghorpadi,18.52232,73.89712
Hadapsar,18.50253,73.92707
Katraj,18.44733,73.86406
Khadki,19.00235,73.98641
Kharadi,18.54463,73.93922
Kondhwa,18.47106,73.89156
Koregaon Park,18.53533,73.89382
Kothrud,18.50482,73.80239
Mohammedwadi,18.47867,73.91594
Mundhwa,18.53029,73.92109
Parvati,18.48696,73.85006
Pashan,18.53686,73.7932
Undri,18.45427,73.91788
Vishrantwadi,18.57471,73.87725
Vadgaon Budruk,18.46726,73.82476
Wadgaon Sheri,18.53789,73.93267
Warje,18.47212,73.80214
Yerwada,18.57086,73.88003
Bhosari,18.63873,73.83748
Chakan,18.73416,73.85856
Charholi Budruk,18.64073,73.90397
Chinchwad,18.64744,73.80003
Dehu Road,18.67916,73.73255
Dighi,18.61522,73.87241
Hinjwadi,18.57888,73.75727
Kasarwadi,18.60263,73.82435
Moshi,18.65376,73.86195
Phugewadi,18.59017,73.83033
Pimple Gurav,18.58901,73.81815
Pimple Nilakh,18.57908,73.78654
Pimple Saudagar,18.59854,73.80025
Ravet,18.64513,73.73638
Rahatani,18.59925,73.78632
Tathawade,18.62548,73.7507
Thergaon,18.61383,73.77359
Wakad,18.60541,73.75557
